"KUMI_CD","LINE_CD","LINE_SUB_CD","KANRIBAN_CD","LINE_DATE","TYOKU_KBN","JIKANWARI_KBN","HINBAN_CD","PLAN_PRODUCT_CNT","PRODUCT_CNT","WORKING_HOURS","CYCLE_TIME","UPDATE_TIME"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","01","30610ECB010","42","42","0","78.4","2024-08-01T18:38:11.657000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","02","30610ECB010","45","45","0","78.4","2024-08-01T10:30:03.464000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","03","30610ECB010","38","38","0","78.4","2024-08-01T17:24:05.176000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","04","30610ECB010","45","45","0","78.4","2024-08-01T17:24:11.828000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","05","30610ECB010","0","0","0","78.4","2024-08-01T12:34:45.577000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","06","30610ECB010","34","34","0","78.4","2024-08-01T14:19:45.764000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","07","30610ECB010","45","45","0","78.4","2024-08-01T18:35:10.484000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","08","30610ECB010","38","38","0","78.4","2024-08-01T18:35:04.606000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","09","30610ECB010","41","41","0","78.4","2024-08-01T17:23:05.931000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","10","30610ECB010","0","0","0","78.4","2024-08-01T08:22:58.259000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","11","30610ECB010","0","0","0","78.4","2024-08-01T18:38:05.183000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","12","30610ECB010","0","0","0","78.4","2024-08-01T08:22:58.259000"
"NH12","AS2610","A","M01","2024-08-01T00:00:00","1","13","30610ECB010","0","0","0","78.4","2024-08-01T08:22:58.259000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","01","30610ECB010","42","42","0","78.4","2024-08-02T09:29:36.377000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","02","30610ECB010","45","45","0","78.4","2024-08-02T10:32:54.101000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","03","30610ECB010","38","38","0","78.4","2024-08-02T12:35:29.515000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","04","30610ECB010","45","39","0","78.4","2024-08-02T17:39:56.602000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","05","30610ECB010","0","0","0","78.4","2024-08-02T12:35:23.207000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","06","30610ECB010","34","34","0","78.4","2024-08-02T17:21:33.660000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","07","30610ECB010","45","44","0","78.4","2024-08-05T23:41:53.072000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","08","30610ECB010","38","38","0","78.4","2024-08-02T16:18:56.769000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","09","30610ECB010","41","41","0","78.4","2024-08-02T17:21:22.231000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","10","30610ECB010","0","0","0","78.4","2024-08-02T17:39:50.396000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","11","30610ECB010","0","0","0","78.4","2024-08-02T08:37:37.755000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","12","30610ECB010","0","0","0","78.4","2024-08-02T08:37:37.755000"
"NH12","AS2610","A","M01","2024-08-02T00:00:00","1","13","30610ECB010","0","0","0","78.4","2024-08-02T08:37:37.755000"
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","01","30610ECB010","42","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","02","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","03","30610ECB010","38","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","04","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","06","30610ECB010","34","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","07","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","08","30610ECB010","38","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","09","30610ECB010","41","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-03T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","02","30610ECB010","51","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","03","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","04","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","05","30610ECB010","55","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","06","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","07","30610ECB010","51","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","08","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","09","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","10","30610ECB010","41","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-04T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-08-05T00:00:00","2","01","30610ECB010","0","0","0","78.4","2024-08-05T21:59:11.211000"
"NH12","AS2610","A","M01","2024-08-05T00:00:00","2","02","30610ECB010","42","42","0","78.4","2024-08-06T06:49:15.426000"
"NH12","AS2610","A","M01","2024-08-05T00:00:00","2","03","30610ECB010","45","44","0","78.4","2024-08-06T06:50:39.706000"
