品番,受入場所,品名,収容数,サイクル間隔,サイクル回数,サイクル情報,不良率
019128GA010    ,1Y,ｷﾔﾂﾌﾟｼﾂﾋﾟﾝｸﾞ                  ,50,1,2,3,00
01912ECA020    ,1Y,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ                  ,100,1,1,1,00
01912ECB010    ,1Y,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ                  ,300,1,2,3,00
01912ECB040    ,1Y,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ                  ,40,1,1,2,00
01912ECB060    ,1Y,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ                  ,400,1,1,3,00
01912ECB070    ,1Y,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ                  ,200,1,1,3,00
1040043104R    ,1Y,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,1000,1,2,3,00
1040052001Z    ,1Y,ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-      ,200,1,6,5,00
1040113002P    ,1Y,ﾌﾟﾗｸﾞ ﾀｲﾄ                     ,2500,1,1,1,00
1040132124M    ,1Y,ﾍﾞｱﾘﾝｸﾞ                       ,1800,1,8,9,00
1040183011P    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,500,1,6,5,00
2030044001J    ,1Y,ｼｰﾙﾀｲﾌﾟTｵｲﾙ                   ,400,1,2,3,00
2030045013L    ,1Y,ｶﾞｽｹﾂﾄ                        ,2000,1,1,1,00
2030052002N    ,1Y,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-       ,300,1,2,1,00
3040052001B    ,1Y,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-       ,500,1,6,5,00
33490ECA010    ,1Y,ｵｲﾙｸｰﾗｰASSY                   ,4,1,2,3,00
33490ECA020    ,1Y,ｵｲﾙｸｰﾗｰASSY                   ,4,1,2,3,00
33490ECB010    ,1Y,ｵｲﾙｸｰﾗｰASSY                   ,4,1,2,3,00
33490ECB020    ,1Y,ｸｰﾗｰASSY ｵｲﾙ                  ,4,1,2,3,00
33490ECE010    ,1Y,ｵｲﾙｸｰﾗｰASSY                   ,4,1,2,3,00
34989ECA040    ,1Y,ﾗﾍﾞﾙ                          ,500,1,1,2,00
34989ECB010    ,1Y,ﾗﾍﾞﾙ                          ,500,1,1,2,00
34989ECB020    ,1Y,ﾗﾍﾞﾙ                          ,500,1,1,2,00
34989ECB030    ,1Y,ﾗﾍﾞﾙ                          ,1000,1,1,2,00
34989ECB050    ,1Y,ﾗﾍﾞﾙ                          ,500,1,1,2,00
34989ECC010    ,1Y,ﾗﾍﾞﾙ                          ,500,1,1,2,00
34989ECE010    ,1Y,ﾗﾍﾞﾙ                          ,500,1,1,2,00
